Data Godzina,Numer,Opis,Typ,Miejsce,Status,Kwota Mandatu,Data Zakończenia
2016-08-03 14:30:00,INT-30318/16,parkowanie w odległości mniej niż 10 metrów od przejścia dla pieszych ,NIEPRAWIDŁOWE PARKOWANIE,SUDECKA /,MANDAT,100,2016-08-04 13:28:51
2016-08-03 18:40:00,INT-30730/16,POSTÓJ NIE PRZY KRAWĘDZI JEZDNI,NIEPRAWIDŁOWE PARKOWANIE,PRUSA /,MANDAT,100,2016-08-08 20:46:46
2016-08-03 09:35:00,INT-30259/16,kontrola pod kątem posiada rachunków na wywóz nieczystości ciekłychPROWADZI WŚIR,PORZĄDKOWA,LISIA 7/,MANDAT,100,2016-08-04 09:18:43
2016-08-03 18:20:00,INT-30731/16,NIEUTRZYMANIE CZYSTOŚCI NA TERENIE NIERUCHOMOŚCI,PORZĄDKOWA,KOSYNIERÓW GDYŃSKICH 44/,,50,2016-08-08 20:45:44
2016-08-03 09:56:14,INT-30150/16,NA KOPERTACH PRZEZNACZONYCH DLA MELEKSÓW STOJĄ NIEUPRAWNIONE AUTA,NIEPRAWIDŁOWE PARKOWANIE,PLAC SOLNY /,WEZWANIE,0,2016-08-03 10:18:48
2016-08-03 16:48:12,INT-30205/16,NA PRZECIWKO NUMERU 8 PRZY STARYCH SZKLARNIACH W LEWO WYPALANIE ŚMIECIGODZ 17:08 ,"WYPALANIE, OGNISKO",ZIELNA /,MANDAT,500,2016-08-03 19:21:47
2016-08-03 12:20:19,INT-30171/16,"mężczyzna zaczepia przechodnów , spozywa alkohol oraz prezeklina",SPOŻYWANIE ALKOHOLU,RYNEK /,MANDAT,500,2016-08-03 12:20:19
2016-08-03 12:15:52,INT-30170/16,osoba spozywa alkohol na ulicy,SPOŻYWANIE ALKOHOLU,KUŹNICZA /,MANDAT,100,2016-08-03 12:15:52
2016-08-03 16:10:00,INT-30725/16,SPOŻYWANIE ALKOHOLU,SPOŻYWANIE ALKOHOLU,WYSPA SŁODOWA /,MANDAT,100,2016-08-08 20:24:11
2016-08-03 14:45:00,INT-30727/16,USIŁOWANIE SPOŻYCIA ALKOHOLU,SPOŻYWANIE ALKOHOLU,SIENKIEWICZA /,MANDAT,50,2016-08-08 20:31:58
2016-08-03 15:30:00,INT-30729/16,SPOŻYWANIE ALKOHOLU,SPOŻYWANIE ALKOHOLU,PLAC BEMA /,,50,2016-08-08 20:36:11
2016-08-03 15:50:00,INT-30395/16,KONTROLA POJAZDÓW NIE STOSUJĄCYCH SIĘ DO B-1,UTRUDNIENIE RUCHU MPK,MOST MŁYŃSKI /,,50,2016-08-05 09:00:37
2016-08-03 15:50:00,INT-30395/16,KONTROLA POJAZDÓW NIE STOSUJĄCYCH SIĘ DO B-1,UTRUDNIENIE RUCHU MPK,MOST MŁYŃSKI /,,100,2016-08-05 09:00:37
2016-08-03 00:02:46,INT-30124/16,Pismo w sprawie ustawionej reklamy w ogródku lokalu Stara Piwnica ul. Krupnicza 15  - reklamy tego typu na terenie Parku Kulturowego sa niedopuszczalne. Z1.4017.222.2016.CS,PLAKATY (REKLAMY),KRUPNICZA 15/,,0,2016-09-13 13:17:18
2016-08-03 04:05:00,INT-30128/16,parkowanie pojazdów w miejscu obowiązywania znaku B-36,BLOKADA,ŚW. ANTONIEGO /,,100,2016-08-03 06:04:20
2016-08-03 08:36:13,INT-30140/16,Wjazd od ul.Kamiennej przy Aquaparku na terenie zielonym zaparkowany jest biały camper i niszczy roslinność.,NIEPRAWIDŁOWE PARKOWANIE,BOROWSKA /,MANDAT,100,2016-08-03 10:30:24
2016-08-03 10:45:00,INT-30162/16,Parkowanie za b36 i na P21,BEZPIECZEŃSTWO W KOMUNIKACJI,GWIAŹDZISTA /,,100,2016-08-03 11:18:07
2016-08-03 10:45:00,INT-30162/16,Parkowanie za b36 i na P21,BEZPIECZEŃSTWO W KOMUNIKACJI,GWIAŹDZISTA /,,0,2016-08-03 11:18:07
2016-08-03 11:20:00,INT-30165/16,parkowanie za B36,BEZPIECZEŃSTWO W KOMUNIKACJI,PRETFICZA /,,100,2016-08-03 11:40:14
2016-08-03 11:45:39,INT-30166/16,Pojazdy zaparkowane w strefie zamieszkania w miejscach nie wyznaczonych.,NIEPRAWIDŁOWE PARKOWANIE,BULWAR DEDALA 16/,OSTRZEŻENIE,0,2016-08-03 12:23:58
2016-08-03 11:45:00,INT-30172/16,Parkowanie za B36,BEZPIECZEŃSTWO W KOMUNIKACJI,WŁODKOWICA /,,100,2016-08-03 12:26:03
2016-08-03 10:10:00,INT-30180/16,Wpłyneło pismo DO.4042.566.2016.MM   dotyczące mieszania odpadów oraz umieszczania odpadów pochodzących z działalności gospodarczej w pojemnikach na odpady komunalne,PORZĄDKOWA,WYSTAWOWA 1/,MANDAT,200,2016-08-03 12:47:41
2016-08-03 12:25:00,INT-30173/16,mężczyzna zaczepia przechodniów i żebrze,ŻEBRANIE,RYNEK /,MANDAT,500,2016-08-03 12:33:20
2016-08-03 13:44:49,INT-30187/16,Zablokowany wjazd na posesję.,NIEPRAWIDŁOWE PARKOWANIE,KOCHANOWSKIEGO 24/1,MANDAT,100,2016-08-08 21:06:08
2016-08-03 14:28:21,INT-30190/16,Pojazdy zaparkowane w strefie zamieszkania w miejscach nie wyznaczonych.,NIEPRAWIDŁOWE PARKOWANIE,LEGNICKA 17/,,0,2016-08-03 15:08:15
