2017-05-04 11:58:52,INT-15902/17,NA,SKRZY?OWANIU ZAPARKOWANY POJAZD MARKI MERCEDES.  ,NIEPRAWID?OWE PARKOWANIE,PLAC WYZWOLENIA / ,0,2017-05-04 12:42:13
2017-05-05 05:24:00,INT-15970/17,parkowanie za b-35 ,BLOKADA,MENNICZA / ,100,,2017-05-05 05:24:08
2017-05-05 05:24:00,INT-15970/17,parkowanie za b-35,BLOKADA ,MENNICZA / ,0,,2017-05-05 05:24:08
2017-05-05 08:10:00,INT-15988/17,Kontrola parkowania pojazdów na postoju taxi ,BLOKADA ,BOGUS?AWSKIEGO / ,100,,2017-05-05 09:42:57
2017-05-05 08:45:00,INT-15989/17,Kontrola parkowania pojazdów na skrzy?owaniu ulic Kie?ba?nicza a Malarska,BLOKADA ,KIE?BA?NICZA / ,300,,2017-05-05 09:45:07
2017-05-05 08:50:00,INT-15990/17,Kontrola parkowania pojazdów w strefie zamieszkania poza miejscami,wyznaczonymi ,BLOKADA ,PLAC UNIWERSYTECKI / ,0,2017-05-05 09:46:57
2017-05-05 09:29:36,INT-15987/17,Daewoo Matiz blokuje,chodnik. ,NIEPRAWID?OWE PARKOWANIE ,PROBUSA 2/ ,100,2017-05-05 12:35:26
2017-05-05 09:29:36,INT-15987/17,Daewoo Matiz blokuje chodnik.,NIEPRAWID?OWE PARKOWANIE ,PROBUSA 2/ ,0,,2017-05-05 12:35:26
2017-05-05 10:05:00,INT-15996/17,Kontrola parkowania pojazdów za znakiem,B-36 ,BLOKADA ,HALLERA / ,100,2017-05-05 10:16:23
2017-05-05 10:41:19,INT-16000/17,parkowanie pojazdów za D-40 ,NIEPRAWID?OWE PARKOWANIE ,JE?OWSKA / ,0,,2017-05-05 11:46:40
2017-05-05 11:28:11,INT-16007/17,przy Pereca i pod,Wiaduktem przy Wysokiej dwa nielegalne stoiska z truskawakami. ,HANDEL,GRABISZY?SKA / ,100,2017-05-05 12:32:57
2017-05-05 11:30:00,INT-16048/17,Parkopwanie pojazdów na kopertach przeznaczonych dla melexów,NIEPRAWID?OWE PARKOWANIE ,PLAC SOLNY / ,MANDAT ,100,2017-05-05 17:00:53
2017-05-05 12:18:51,INT-16018/17,na wys. Lidla - sprzeda? truskawek,HANDEL ,GUBI?SKA / ,POUCZENIE ,100,2017-05-05 16:00:22
2017-05-05 19:50:00,INT-16071/17,parkowanie za B-,36 ,BLOKADA ,HALLERA / ,0,2017-05-05 20:08:54
2017-05-05 22:45:00,INT-16093/17,parkowanie za b-36,BLOKADA ,?ACIARSKA / ,100,,2017-05-06 05:23:54
2017-05-06 08:13:33,INT-16099/17,Handel,HANDEL ,JEMIO?OWA GROCHOWA/ ,50,,2017-05-06 12:08:34
2017-05-06 09:53:02,INT-16104/17,a GRABISZY?SKA,HANDEL TRUSKAWKAMI ,HANDEL ,PERECA / ,50,2017-05-08 10:50:30
2017-05-06 10:49:45,INT-16107/17,parkowanie na zakazie vis a vis politechniki ,NIEPRAWID?OWE PARKOWANIE,WRO?SKIEGO / ,MANDAT ,100,2017-05-08 10:29:59
2017-05-06 10:51:47,INT-16108/17,handel na terenie,parku kulturowego ,HANDEL ,W?OSTOWICA / ,0,2017-05-17 21:23:40
2017-05-06 12:06:08,INT-16113/17,VIS A VIS SZKO?Y NA TERENIE PARKINGU,PRACE BUDOWLANE. POJAZDY Z BUDOWY ZANIECZYSZCZAJ? DROGE ,PORZ?DKOWA,HAUKEGO BOSAKA / ,200,2017-05-08 09:48:11
2017-05-06 13:50:00,INT-16231/17,handel miejscu nie wyznaczonym na terenie gminy ,HANDEL,KROMERA / ,MANDAT ,50,2017-05-08 09:13:40
2017-05-06 15:30:00,INT-16268/17,kontrola handlu na terenie parku kulturowego  ,HANDEL,O?AWSKA / ,MANDAT ,100,2017-05-08 15:35:00
2017-05-06 18:03:19,INT-16141/17,"WYCINKA DRZEW, KTÓRE",SA SK?ADOWANE PRZY ?MIETNIKU UL. MINKOWSKIEGO 3-5 ,WYCINKA DRZEW,MINKOWSKIEGO 6/ ,50,2017-05-08 10:07:11
2017-05-07 11:11:05,INT-16177/17,ZABLKOWANY WJAZD OD,GARA?U ,NIEPRAWID?OWE PARKOWANIE ,G?OGOWSKA 4/ ,100,2017-05-07 11:51:58
